"Path","Size","LastWrite","MD5"
".editorconfig","147","20/09/2025 21:21:24","E75F18C7A90677B1A9DB5824E8017531"
".gitattributes","407","23/09/2025 10:00:42","8040827DBB38CE058A0703BE7DB4172F"
".gitignore","550","24/09/2025 18:22:40","FBF2A12CD220C4E4DE2F7FB2628B4220"
".prettierignore","34","20/09/2025 21:21:24","C80BC4B314B64FA0D04EC2788E161920"
"audit_and_fix.ps1","5789","24/09/2025 20:21:42","F1FB763E685E83AD503C8FC7817209EE"
"audit_project.ps1","3237","24/09/2025 06:24:39","39C57A67B6C15901618486EF0AC3B208"
"audit-report.html","2337","24/09/2025 05:48:23","021FAC861F11317B6CFA6B912E0B2E79"
"audit-result.json","1915","24/09/2025 05:48:23","3EE49656D40FE7DD77D8AC6F23730A47"
"audit.backup.line254.ps1","18248","24/09/2025 05:48:23","E1EAEED46E40D2A1DC7013BC578C625A"
"audit.backup.ps1","17713","24/09/2025 05:48:23","4E89A1D68E392C927133691978ADF4F7"
"audit.backup.waithealthy.ps1","36510","24/09/2025 05:48:23","FC9277DDD6A26254BDAB10C789ED89EC"
"audit.backup2.ps1","36175","24/09/2025 05:48:23","645EDA1657D6935407E3CF7FFD751298"
"audit.broken.backup.ps1","37386","24/09/2025 05:48:23","4DD40BCD757A89CE4CA4A45949E01E63"
"audit.log","806","24/09/2025 05:28:51","31C971563E21A6E6A9EFB8E92B521602"
"audit.ps1","16155","24/09/2025 05:48:23","9A52126A3EB3FBABCDDD826D88EDFDB4"
"audit.ps1.backup.fullfix.ps1","16108","24/09/2025 05:48:23","6974C9305616135652E8F946A4B7F6E1"
"commitlint.config.cjs","67","20/09/2025 21:21:24","D25424FD0AA2EC88EF4A6BEC88209CC0"
"docker-compose.yml","680","20/09/2025 21:21:24","F6CA637BE47AE5AA754CA32699919EAD"
"download_last_audit.ps1","3278","24/09/2025 20:41:03","04C8D5C2CE7595BB67AEFAF3D14330FC"
"eslint.config.cjs","1143","24/09/2025 08:04:25","0D62DDEEB8ED9305CA8CC06D72EACB36"
"fix-prisma.ps1","2577","20/09/2025 21:21:24","C2FED0B06261E646CAE435B7ECA268BD"
"gera_relatorio_local.ps1","1794","24/09/2025 21:21:11","0F53B20804345C4FC3EB531EC8312098"
"INVENTARIO_20250920_222011.txt","6096","23/09/2025 10:00:42","9359AB5D7757C1D3B211768BBE16AAF1"
"mag-daily.ps1","2347","20/09/2025 21:21:24","3C14DC23B842654AB66A1C0D11A32C4B"
"magv10_bootstrap_demo.ps1","0","23/09/2025 10:00:42","D41D8CD98F00B204E9800998ECF8427E"
"package-lock.json","443575","24/09/2025 21:22:03","E72C793B8D869EB5B891016D71B45829"
"package.json","2003","24/09/2025 08:26:30","8548D6D763F8DE649BCFAD2EFC46901F"
"patch-magv10.ps1","62","23/09/2025 10:00:42","FCA3CF10E62DF41313EA7D237F5A46F0"
"plopfile.cjs","434","20/09/2025 21:21:24","50D00F9B0E5D5103CA63911E7020FE71"
"README.md","192","23/09/2025 10:00:42","C506174EC4A6001889203B8231688CEA"
"run-dev.ps1","3237","20/09/2025 21:21:24","AF33507BB0FF7B058AFEC7635EB31CB1"
"setup-mag.ps1","0","24/09/2025 18:22:12","D41D8CD98F00B204E9800998ECF8427E"
"setup-magv10.ps1","880","23/09/2025 10:00:42","B999174750C23B3D1306BA777FA117F9"
"setup.bat","182","20/09/2025 21:21:24","DCC8077B00E1E1B9FB5894D7C4F4DC1F"
"setup.sh","140","20/09/2025 21:21:24","E786EB5AEF6148A986686CB79AC5CFE9"
"smoke-api.ps1","1907","20/09/2025 21:21:24","E22DC5D21306BC0036CC8172D7DD89A8"
"tsconfig.eslint.json","121","24/09/2025 05:48:23","9D8667F09161D3707E71E9480E090AFD"
"turbo.json","268","23/09/2025 10:00:42","95497B6757C6005E92544B945E2D77D9"
"turbo.json.bak","270","23/09/2025 10:00:42","465600492732C954F14DF084CDDB53DE"
".github\workflows\ci-api.yml","1015","23/09/2025 10:00:42","BEF9A8EF057A652537BC905CDAAE6E5F"
".github\workflows\ci.yml","1215","24/09/2025 08:04:26","02B7E0500BE5B314AD8084D2D0ACDFA2"
".husky\pre-commit","93","24/09/2025 20:23:50","5AB5646F015BE4432988342B5429C519"
".husky\pre-push","156","23/09/2025 10:00:42","C4C494E572C110F3CB2988A830D9EC07"
".husky\_\.gitignore","1","25/09/2025 17:23:13","3389DAE361AF79B04C9C8E7057F60CC6"
".husky\_\applypatch-msg","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
".husky\_\commit-msg","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
".husky\_\h","551","25/09/2025 17:22:43","15239A01C5554E56FF745570FB583A91"
".husky\_\husky.sh","160","25/09/2025 17:23:13","13871D2AB13E8423790ECB2C01C78C18"
".husky\_\post-applypatch","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
".husky\_\post-checkout","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
".husky\_\post-commit","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
".husky\_\post-merge","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
".husky\_\post-rewrite","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
".husky\_\pre-applypatch","39","25/09/2025 17:23:13","0B71C2E7D39DAA010985D529F1320B37"
